(PDH-CSV 4.0) (UTC)(0),\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(0)\% Processor Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(1)\% Processor Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(0)\% Util Time,\\proma-2n-dhcp60.eng.vmware.com\Physical Cpu(1)\% Util Time,\\proma-2n-dhcp60.eng.vmware.com\Memory\Kernel MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\NonKernel MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Kernel State,\\proma-2n-dhcp60.eng.vmware.com\Memory\PShare Shared MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap Target MBytes,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap MBytes Read/sec,\\proma-2n-dhcp60.eng.vmware.com\Memory\Swap MBytes Write/sec
3/26/2015 22:52,40.69,22.27,40.16,22.46,1087,1742,0,118,0,0,0
3/26/2015 22:52,43.07,25.72,43.21,25.92,1086,1742,0,118,0,0,0
3/26/2015 22:53,27.49,6.81,28.41,7.08,1087,1742,0,118,0,0,0
3/26/2015 22:53,34.39,12.03,33.78,11.88,1087,1742,0,118,0,0,0
3/26/2015 22:53,41.49,35.61,41.66,35.83,1087,1742,0,118,0,0,0
3/26/2015 22:53,14.36,35.65,14.5,36.04,1087,1743,0,118,0,0,0
3/26/2015 22:53,16.89,13.43,17.06,13.44,1087,1742,0,118,0,0,0
3/26/2015 22:53,13.15,55.4,13.29,55.47,1087,1742,0,118,0,0,0
3/26/2015 22:53,53.9,13.35,54.07,13.52,1087,1742,0,118,0,0,0
3/26/2015 22:53,15.14,9.73,15.53,9.91,1087,1742,0,118,0,0,0
3/26/2015 22:53,32.7,26.19,32.69,26.43,1087,1742,0,118,0,0,0
3/26/2015 22:53,6.99,56.81,7.04,56.89,1087,1742,0,118,0,0,0
3/26/2015 22:53,19.09,22.35,19.29,23.03,1087,1743,0,118,0,0,0
3/26/2015 22:54,27.23,15,27.38,15.09,1087,1743,0,118,0,0,0
3/26/2015 22:54,41.64,24.87,41.77,24.96,1087,1743,0,118,0,0,0
3/26/2015 22:54,37.2,30.97,37.44,32.05,1087,1743,0,118,0,0,0
3/26/2015 22:54,11.83,12.61,12.02,11.99,1087,1743,0,118,0,0,0
3/26/2015 22:54,43.82,20.57,43.94,20.6,1087,1743,0,118,0,0,0
3/26/2015 22:54,35.41,33.99,35.67,34.05,1087,1743,0,118,0,0,0
3/26/2015 22:54,20.87,10.72,21.14,10.91,1087,1743,0,118,0,0,0
3/26/2015 22:54,34.31,12.57,34.41,12.7,1087,1743,0,118,0,0,0
3/26/2015 22:54,41.86,23.16,42.05,23.36,1086,1743,0,118,0,0,0
3/26/2015 22:54,10.46,42.84,10.62,43.26,1087,1743,0,118,0,0,0
3/26/2015 22:54,17.59,12.2,17.82,11.65,1087,1743,0,118,0,0,0
3/26/2015 22:55,13.4,52.14,13.64,52.23,1086,1743,0,118,0,0,0
3/26/2015 22:55,19.12,67.93,19.41,68.02,1087,1743,0,118,0,0,0
3/26/2015 22:55,9.66,25.76,9.86,25.92,1087,1743,0,118,0,0,0
3/26/2015 22:55,16.94,39.01,17.26,38.66,1087,1743,0,118,0,0,0
3/26/2015 22:55,43.37,21.99,43.46,22.14,1087,1743,0,118,0,0,0
3/26/2015 22:55,18.72,26.23,19.05,26.53,1087,1743,0,118,0,0,0
3/26/2015 22:55,19.42,25.21,19.72,25.43,1087,1743,0,118,0,0,0
3/26/2015 22:55,24.63,41.62,24.9,41.63,1086,1743,0,118,0,0,0
3/26/2015 22:55,38.22,22.15,38.37,22.46,1087,1743,0,118,0,0,0
3/26/2015 22:55,13.7,11.24,14,11.63,1087,1743,0,118,0,0,0
3/26/2015 22:55,40.47,22.68,40.62,22.83,1087,1743,0,118,0,0,0
3/26/2015 22:56,38.55,17.48,38.78,17.7,1087,1743,0,118,0,0,0
3/26/2015 22:56,19.49,9.86,19.67,10.05,1087,1743,0,118,0,0,0
3/26/2015 22:56,20.29,51.92,20.64,52.03,1087,1743,0,118,0,0,0
3/26/2015 22:56,43.96,17.97,44.07,18.8,1087,1743,0,118,0,0,0
3/26/2015 22:56,10.4,15.97,10.64,15.62,1087,1743,0,118,0,0,0
3/26/2015 22:56,36.37,24.27,36.57,24.61,1087,1743,0,118,0,0,0
3/26/2015 22:56,24.76,39.25,24.95,40,1087,1743,0,118,0,0,0
3/26/2015 22:56,24.48,10.61,24.74,10.37,1087,1743,0,118,0,0,0
3/26/2015 22:56,19.34,30.73,19.45,30.84,1086,1743,0,118,0,0,0
3/26/2015 22:56,49.5,19.12,49.7,19.21,1087,1743,0,118,0,0,0
3/26/2015 22:56,32.43,14.94,32.75,15.15,1087,1743,0,118,0,0,0
3/26/2015 22:57,14.2,19.62,14.15,19.93,1087,1743,0,118,0,0,0
3/26/2015 22:57,43.17,28.39,43.38,28.58,1087,1743,0,118,0,0,0
3/26/2015 22:57,42.14,37.66,42.25,37.91,1087,1743,0,118,0,0,0
3/26/2015 22:57,12.27,9.83,12.83,9.97,1087,1743,0,118,0,0,0
3/26/2015 22:57,34.54,25,34.36,25.24,1087,1743,0,118,0,0,0
3/26/2015 22:57,19.3,49.88,19.52,49.9,1087,1743,0,118,0,0,0
3/26/2015 22:57,28.68,11.61,29.06,11.76,1087,1743,0,118,0,0,0
3/26/2015 22:57,12.68,30.13,12.59,29.9,1087,1743,0,118,0,0,0
3/26/2015 22:57,12.78,56.8,12.97,56.92,1087,1743,0,118,0,0,0
3/26/2015 22:57,25.34,28.7,25.46,28.77,1087,1743,0,118,0,0,0
3/26/2015 22:57,13.16,15.81,13.32,16.13,1087,1743,0,118,0,0,0
3/26/2015 22:58,52.56,12.95,52.74,13.11,1086,1743,0,118,0,0,0
3/26/2015 22:58,32.98,31.31,33.16,31.4,1087,1743,0,118,0,0,0
3/26/2015 22:58,11.72,30.88,12.06,31.03,1088,1745,0,118,0,0,0
3/26/2015 22:58,35.75,12.83,35.86,13.07,1087,1743,0,118,0,0,0
3/26/2015 22:58,58.36,6.89,58.47,7.18,1087,1743,0,118,0,0,0
3/26/2015 22:58,31.61,18.34,32.04,18.56,1087,1743,0,118,0,0,0
3/26/2015 22:58,16.88,16.95,16.83,17.36,1086,1743,0,118,0,0,0
3/26/2015 22:58,42.08,26.11,42.36,26.31,1087,1743,0,118,0,0,0
3/26/2015 22:58,12.25,54.16,12.65,54.23,1087,1743,0,118,0,0,0
3/26/2015 22:58,6.88,15.88,6.66,16.16,1086,1743,0,118,0,0,0
3/26/2015 22:58,45.16,12.76,45.27,12.8,1087,1743,0,118,0,0,0
3/26/2015 22:59,56.98,13.5,57.09,13.76,1087,1743,0,118,0,0,0
3/26/2015 22:59,31.6,5.83,32.01,6.23,1087,1743,0,118,0,0,0
3/26/2015 22:59,20.33,30.37,20.83,30.52,1089,1745,0,118,0,0,0
3/26/2015 22:59,37,30.22,36.67,30.32,1087,1743,0,118,0,0,0
3/26/2015 22:59,37.93,14.33,38.72,14.46,1087,1743,0,118,0,0,0
3/26/2015 22:59,12.5,20.34,12.05,20.57,1087,1743,0,118,0,0,0
3/26/2015 22:59,50.14,17.78,50.29,17.9,1086,1743,0,118,0,0,0
3/26/2015 22:59,43.3,22.22,43.52,22.37,1087,1743,0,118,0,0,0
3/26/2015 22:59,4.92,25.72,5.18,26.35,1087,1743,0,118,0,0,0
3/26/2015 22:59,14.33,37.07,14.56,36.81,1086,1743,0,118,0,0,0
3/26/2015 22:59,11.54,52.72,11.56,52.87,1087,1743,0,118,0,0,0
3/26/2015 23:00,30.56,24.85,30.72,25.15,1089,1751,0,118,0,0,0
3/26/2015 23:00,27.15,30.95,27.9,31.09,1087,1744,0,118,0,0,0
3/26/2015 23:00,20.08,49.48,19.52,49.6,1087,1744,0,118,0,0,0
3/26/2015 23:00,14.21,54.18,14.25,54.27,1087,1743,0,118,0,0,0
3/26/2015 23:00,31.72,4.42,32.43,4.73,1087,1743,0,118,0,0,0
3/26/2015 23:00,13.61,29.01,13.33,29.13,1087,1743,0,118,0,0,0
3/26/2015 23:00,63.79,5.74,63.88,5.92,1086,1743,0,118,0,0,0
3/26/2015 23:00,42.12,12.39,42.35,12.54,1087,1743,0,118,0,0,0
3/26/2015 23:00,14.16,11.04,14.24,11.26,1087,1744,0,118,0,0,0
3/26/2015 23:00,15.28,52.24,15.42,52.37,1086,1743,0,118,0,0,0
3/26/2015 23:00,19.56,45.6,19.89,45.69,1088,1743,0,118,0,0,0
3/26/2015 23:01,26.42,25.1,26.57,25.62,1096,1748,0,118,0,0,0
3/26/2015 23:01,28.76,27.88,28.93,27.82,1086,1743,0,118,0,0,0
3/26/2015 23:01,49.85,22.95,49.96,23.05,1087,1744,0,118,0,0,0
3/26/2015 23:01,8.07,37.39,8.36,37.7,1087,1743,0,118,0,0,0
3/26/2015 23:01,20.39,17.92,20.59,17.96,1086,1743,0,118,0,0,0
3/26/2015 23:01,54.93,13.39,55.08,13.66,1087,1743,0,118,0,0,0
3/26/2015 23:01,30.5,36.85,30.62,37.09,1086,1743,0,118,0,0,0
3/26/2015 23:01,10.76,15.63,10.98,15.9,1087,1743,0,118,0,0,0
3/26/2015 23:01,12.72,44.37,12.83,44.46,1086,1743,0,118,0,0,0
3/26/2015 23:01,43.84,24.87,43.92,24.96,1086,1743,0,118,0,0,0
3/26/2015 23:01,33.41,5.13,33.58,5.44,1087,1743,0,118,0,0,0
3/26/2015 23:02,18.46,23.78,18.61,24.02,1086,1743,0,118,0,0,0
3/26/2015 23:02,37.8,30.3,37.75,30.47,1086,1743,0,118,0,0,0
3/26/2015 23:02,49.21,13.92,49.31,13.99,1087,1745,0,118,0,0,0
3/26/2015 23:02,13.4,11.78,13.67,11.92,1087,1743,0,118,0,0,0
3/26/2015 23:02,49.05,19.93,49.1,20.22,1086,1743,0,118,0,0,0
3/26/2015 23:02,24.93,39.24,25.26,39.37,1087,1743,0,118,0,0,0
3/26/2015 23:02,18.91,10.73,19.16,10.92,1087,1743,0,118,0,0,0
3/26/2015 23:02,36.9,13.15,36.98,13.32,1086,1743,0,118,0,0,0
3/26/2015 23:02,27.59,40.31,27.86,40.42,1087,1743,0,118,0,0,0
3/26/2015 23:02,10.75,34.55,10.97,35.56,1087,1743,0,118,0,0,0
3/26/2015 23:02,20.97,17,21.11,16.6,1087,1743,0,118,0,0,0
3/26/2015 23:03,42.95,22.27,43.12,22.2,1087,1743,0,118,0,0,0
3/26/2015 23:03,12.57,50.37,12.78,50.96,1086,1743,0,118,0,0,0
3/26/2015 23:03,18.47,19.31,18.71,19.36,1088,1745,0,118,0,0,0
3/26/2015 23:03,13.58,45.23,13.64,45.16,1087,1743,0,118,0,0,0
3/26/2015 23:03,52.85,10.64,52.92,10.89,1086,1743,0,118,0,0,0
3/26/2015 23:03,12.99,34.43,13.13,34.88,1088,1743,0,118,0,0,0
3/26/2015 23:03,22.4,18.46,22.61,18.54,1087,1743,0,118,0,0,0
3/26/2015 23:03,49.69,16.21,49.79,16.47,1087,1743,0,118,0,0,0
3/26/2015 23:03,18.97,39.32,19.07,39.53,1087,1743,0,118,0,0,0
3/26/2015 23:03,13.17,10.83,13.36,11.03,1087,1743,0,118,0,0,0
3/26/2015 23:03,51.19,13.01,51.3,13.34,1087,1743,0,118,0,0,0
3/26/2015 23:04,10.95,49.36,11.23,49.47,1087,1743,0,118,0,0,0
3/26/2015 23:04,10.91,12.99,11.12,13.14,1087,1743,0,118,0,0,0
3/26/2015 23:04,37.35,39.28,37.51,39.39,1089,1747,0,118,0,0,0
3/26/2015 23:04,24.74,30.22,24.98,30.37,1088,1743,0,118,0,0,0
3/26/2015 23:04,14.08,10.6,14.28,10.76,1087,1743,0,118,0,0,0
3/26/2015 23:04,57.52,11.43,57.6,11.63,1087,1743,0,118,0,0,0
3/26/2015 23:04,24.75,39.42,25.02,39.52,1086,1743,0,118,0,0,0
3/26/2015 23:04,16.86,15.12,17.05,15.51,1087,1743,0,118,0,0,0
3/26/2015 23:04,22.26,32.08,22.41,32.15,1087,1743,0,118,0,0,0
3/26/2015 23:04,40.54,23.25,40.72,23.66,1087,1743,0,118,0,0,0
3/26/2015 23:04,40.53,6.92,40.9,7.06,1087,1743,0,118,0,0,0
3/26/2015 23:05,16.69,42.15,16.67,42.27,1087,1746,0,118,0,0,0
3/26/2015 23:05,12.98,50.83,13.32,50.82,1087,1743,0,118,0,0,0
